"","cases_19under","pop_19under","temp_mean","precip_mean","X_COORD","Y_COORD","tempxprecip","log_pop_19under"
"82",1,5719,21.740139874545,135.616803949529,1190885.76731703,1467546.6528909,2948.32828720152,8.65154924391532
"83",1,4019,19.9568877410889,136.217220458984,1178771.14058651,1457181.03675052,2718.4717771031,8.2987883944492
"84",1,279,19.802500406901,200.514780680339,1163501.93084272,1413894.8562756,3970.69402601208,5.63121178182137
"85",0,105,21.2714757919312,223.268249511719,1203509.98062782,1430197.7417909,4749.24516459537,4.65396035015752
"86",2,2127,20.1423949241638,136.302561187744,1123006.70343304,1460522.22916006,2745.46001661855,7.66246781520024
"87",0,24,22.5626420974731,214.561164855957,1233242.81230126,1464019.77266883,4841.06677066189,3.17805383034795
"88",2,2049,20.5040656725566,114.578612009684,1169539.0677505,1478277.78557619,2349.32738531694,7.6251071482389
"89",0,1288,25.0228008270264,128.492567443848,1247395.06874398,1444200.64877779,3215.24392290065,7.1608459066643
"90",1,3727,20.5513202667236,134.328933207194,1157916.45704417,1436453.31061792,2760.63692742837,8.22335889947926
"91",0,10,22.6216643180789,126.14203034184,1143738.89170612,1445684.42942581,2853.54266679402,2.30258509299405
"92",0,1371,22.6958840550283,180.610656738281,1220770.59545589,1445745.30063206,4099.11852443455,7.22329567956231
"93",0,615,22.426048940525,189.34700936427,1203639.4322914,1447551.0426921,4246.30529874516,6.42162226780652
"94",0,2128,22.09323387146,149.469662475586,1220557.59599552,1473523.81071818,3302.2682097613,7.66293785046154
"95",0,1743,22.4857343037923,183.878326416016,1224185.77276019,1447037.79518815,4134.63919201652,7.46336304552002
"96",1,4131,22.5074935913086,162.911968994141,1213850.80572257,1463371.49484308,3666.74009808308,8.32627478739676
"97",0,8,22.4071916478402,119.082413834188,1096458.13454831,1446092.73049271,2668.30246867007,2.07944154167984
"98",1,6049,21.6340282180093,140.435962156816,1132148.11436102,1422226.8839686,3038.19556812384,8.70764824810691
"99",0,9,21.0321410543235,176.054337067683,1223832.72415374,1468056.96195013,3702.79965043293,2.19722457733622
"100",0,95,19.7847637176514,154.637469482422,1162804.4934687,1426127.61265147,3059.46579560524,4.55387689160054
"101",2,3669,22.1827969021267,197.133814493815,1209823.50563828,1443032.10101894,4372.97936945783,8.20767442435528
"102",1,74,20.9057518005371,119.380888366699,1218804.17177062,1531337.57825263,2495.74722192184,4.30406509320417
"103",0,404,20.2563870747884,196.906330362956,1153182.06356085,1411908.74972631,3988.61084530819,6.00141487796115
"104",0,620,21.6804949442546,198.074803670247,1197864.56464881,1455232.27503343,4294.35977955701,6.42971947803914
"105",0,392,21.0107941627502,132.677384376526,1169477.84226968,1498030.59411032,2787.65721318728,5.97126183979046
